"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/02/2020","AQS","060010011","1","1.2","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/03/2020","AQS","060010011","1","1.8","ppb","1","Oakland West","19","79.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/04/2020","AQS","060010011","1","1.4","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/05/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/06/2020","AQS","060010011","1","1.4","ppb","1","Oakland West","19","79.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/07/2020","AQS","060010011","1","1.7","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/08/2020","AQS","060010011","1","0.8","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/09/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/10/2020","AQS","060010011","1","1.5","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/11/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/12/2020","AQS","060010011","1","1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/13/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/14/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/15/2020","AQS","060010011","1","1","ppb","1","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/16/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/17/2020","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/18/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/19/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/20/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/21/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/22/2020","AQS","060010011","1","1.1","ppb","1","Oakland West","19","79.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/23/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/24/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/25/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/26/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/27/2020","AQS","060010011","1","0.6","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/28/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/29/2020","AQS","060010011","1","1","ppb","1","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/30/2020","AQS","060010011","1","0.9","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/31/2020","AQS","060010011","1","2.3","ppb","3","Oakland West","20","83.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/01/2020","AQS","060010011","1","2.1","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/02/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/03/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/04/2020","AQS","060010011","1","1.1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/05/2020","AQS","060010011","1","2.1","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/06/2020","AQS","060010011","1","3.6","ppb","4","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/07/2020","AQS","060010011","1","4.5","ppb","6","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/08/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/09/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/10/2020","AQS","060010011","1","1.5","ppb","1","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/11/2020","AQS","060010011","1","2","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/12/2020","AQS","060010011","1","1.7","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/13/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/14/2020","AQS","060010011","1","1.5","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/15/2020","AQS","060010011","1","0.8","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/16/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/17/2020","AQS","060010011","1","1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/18/2020","AQS","060010011","1","1.9","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/19/2020","AQS","060010011","1","1.8","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/20/2020","AQS","060010011","1","1.5","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/21/2020","AQS","060010011","1","3.2","ppb","4","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/22/2020","AQS","060010011","1","0.6","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/23/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/24/2020","AQS","060010011","1","1.6","ppb","1","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/25/2020","AQS","060010011","1","1.4","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/26/2020","AQS","060010011","1","1.9","ppb","1","Oakland West","18","75.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/27/2020","AQS","060010011","1","1.7","ppb","1","Oakland West","19","79.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/28/2020","AQS","060010011","1","2.8","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"02/29/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","19","79.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/01/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/02/2020","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/03/2020","AQS","060010011","1","1.6","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/04/2020","AQS","060010011","1","1.6","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/05/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/06/2020","AQS","060010011","1","0.6","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/07/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/08/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/09/2020","AQS","060010011","1","1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/10/2020","AQS","060010011","1","1.4","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/11/2020","AQS","060010011","1","2.1","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/12/2020","AQS","060010011","1","1.9","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/13/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/14/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/15/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/16/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/17/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/18/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/19/2020","AQS","060010011","1","1.2","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/20/2020","AQS","060010011","1","1.5","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/21/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/22/2020","AQS","060010011","1","1.4","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/23/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/24/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/25/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/26/2020","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/27/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/28/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/29/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/30/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"03/31/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/01/2020","AQS","060010011","1","0.6","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/02/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/03/2020","AQS","060010011","1","0.8","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/04/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/05/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/06/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/07/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/08/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/09/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/10/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/11/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/12/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/13/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/14/2020","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/15/2020","AQS","060010011","1","1.2","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/16/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","20","83.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/17/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/18/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/19/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/20/2020","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/21/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/22/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/23/2020","AQS","060010011","1","0.8","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/24/2020","AQS","060010011","1","2","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/25/2020","AQS","060010011","1","1.2","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/26/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/27/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/28/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"04/30/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/01/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/02/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/03/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","24","100.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/04/2020","AQS","060010011","1","0.7","ppb","0","Oakland West","24","100.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/05/2020","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/06/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","18","75.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/07/2020","AQS","060010011","1","0.5","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/08/2020","AQS","060010011","1","1.6","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/09/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/10/2020","AQS","060010011","1","-0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/11/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/12/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/13/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/14/2020","AQS","060010011","1","-0.1","ppb","0","Oakland West","21","88.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/15/2020","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/16/2020","AQS","060010011","1","0","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/17/2020","AQS","060010011","1","-0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/18/2020","AQS","060010011","1","0","ppb","0","Oakland West","20","83.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"05/19/2020","AQS","060010011","1","0.1","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
