Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
03/06/2019,3.2,ug/m3 LC,13,San Francisco,San Francisco
03/07/2019,4.4,ug/m3 LC,18,San Francisco,San Francisco
03/08/2019,3.4,ug/m3 LC,14,San Francisco,San Francisco
03/09/2019,3.8,ug/m3 LC,16,San Francisco,San Francisco
03/10/2019,3.3,ug/m3 LC,14,San Francisco,San Francisco
03/11/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
03/12/2019,7.8,ug/m3 LC,33,San Francisco,San Francisco
03/13/2019,5.9,ug/m3 LC,25,San Francisco,San Francisco
03/14/2019,5.4,ug/m3 LC,23,San Francisco,San Francisco
03/15/2019,6.2,ug/m3 LC,26,San Francisco,San Francisco
03/16/2019,7.9,ug/m3 LC,33,San Francisco,San Francisco
03/17/2019,10.2,ug/m3 LC,43,San Francisco,San Francisco
03/18/2019,12.2,ug/m3 LC,51,San Francisco,San Francisco
03/19/2019,9.2,ug/m3 LC,38,San Francisco,San Francisco
03/20/2019,5.5,ug/m3 LC,23,San Francisco,San Francisco
03/21/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
03/22/2019,4.7,ug/m3 LC,20,San Francisco,San Francisco
03/23/2019,6.3,ug/m3 LC,26,San Francisco,San Francisco
03/24/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
03/25/2019,4.9,ug/m3 LC,20,San Francisco,San Francisco
03/26/2019,4.1,ug/m3 LC,17,San Francisco,San Francisco
03/27/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
03/28/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
03/29/2019,5.4,ug/m3 LC,23,San Francisco,San Francisco
03/30/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
03/31/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
04/01/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
04/02/2019,2.7,ug/m3 LC,11,San Francisco,San Francisco
04/03/2019,2.0,ug/m3 LC,8,San Francisco,San Francisco
04/04/2019,1.1,ug/m3 LC,5,San Francisco,San Francisco
04/05/2019,2.3,ug/m3 LC,10,San Francisco,San Francisco
04/06/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
04/07/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
04/08/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
04/09/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
04/10/2019,7.1,ug/m3 LC,30,San Francisco,San Francisco
04/11/2019,8.5,ug/m3 LC,35,San Francisco,San Francisco
04/12/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
04/13/2019,9.9,ug/m3 LC,41,San Francisco,San Francisco
04/14/2019,6.9,ug/m3 LC,29,San Francisco,San Francisco
04/15/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
04/16/2019,4.6,ug/m3 LC,19,San Francisco,San Francisco
04/17/2019,6.4,ug/m3 LC,27,San Francisco,San Francisco
04/18/2019,8.0,ug/m3 LC,33,San Francisco,San Francisco
04/19/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
04/20/2019,6.9,ug/m3 LC,29,San Francisco,San Francisco
04/21/2019,12.0,ug/m3 LC,50,San Francisco,San Francisco
04/22/2019,14.2,ug/m3 LC,55,San Francisco,San Francisco
04/23/2019,15.3,ug/m3 LC,58,San Francisco,San Francisco
04/24/2019,17.6,ug/m3 LC,63,San Francisco,San Francisco
04/25/2019,15.1,ug/m3 LC,57,San Francisco,San Francisco
04/26/2019,13.9,ug/m3 LC,55,San Francisco,San Francisco
04/27/2019,15.0,ug/m3 LC,57,San Francisco,San Francisco
04/28/2019,14.3,ug/m3 LC,56,San Francisco,San Francisco
04/29/2019,12.5,ug/m3 LC,52,San Francisco,San Francisco
04/30/2019,12.3,ug/m3 LC,51,San Francisco,San Francisco
05/01/2019,12.7,ug/m3 LC,52,San Francisco,San Francisco
05/02/2019,11.3,ug/m3 LC,47,San Francisco,San Francisco
05/03/2019,11.5,ug/m3 LC,48,San Francisco,San Francisco
05/04/2019,8.7,ug/m3 LC,36,San Francisco,San Francisco
05/05/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
05/06/2019,2.0,ug/m3 LC,8,San Francisco,San Francisco
05/07/2019,2.5,ug/m3 LC,10,San Francisco,San Francisco
05/08/2019,4.7,ug/m3 LC,20,San Francisco,San Francisco
05/09/2019,4.8,ug/m3 LC,20,San Francisco,San Francisco
05/10/2019,5.0,ug/m3 LC,21,San Francisco,San Francisco
05/11/2019,5.6,ug/m3 LC,23,San Francisco,San Francisco
05/12/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
05/13/2019,4.7,ug/m3 LC,20,San Francisco,San Francisco
05/14/2019,4.8,ug/m3 LC,20,San Francisco,San Francisco
05/15/2019,3.7,ug/m3 LC,15,San Francisco,San Francisco
05/16/2019,7.7,ug/m3 LC,32,San Francisco,San Francisco
05/17/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
05/18/2019,3.7,ug/m3 LC,15,San Francisco,San Francisco
05/19/2019,4.0,ug/m3 LC,17,San Francisco,San Francisco
05/20/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
05/21/2019,6.2,ug/m3 LC,26,San Francisco,San Francisco
05/22/2019,8.6,ug/m3 LC,36,San Francisco,San Francisco
05/23/2019,12.2,ug/m3 LC,51,San Francisco,San Francisco
05/24/2019,4.3,ug/m3 LC,18,San Francisco,San Francisco
05/25/2019,9.1,ug/m3 LC,38,San Francisco,San Francisco
05/26/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
05/27/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
05/28/2019,9.0,ug/m3 LC,38,San Francisco,San Francisco
05/29/2019,12.2,ug/m3 LC,51,San Francisco,San Francisco
05/30/2019,3.9,ug/m3 LC,16,San Francisco,San Francisco
05/31/2019,6.8,ug/m3 LC,28,San Francisco,San Francisco
06/01/2019,7.0,ug/m3 LC,29,San Francisco,San Francisco
06/02/2019,1.5,ug/m3 LC,6,San Francisco,San Francisco
06/03/2019,7.0,ug/m3 LC,29,San Francisco,San Francisco
06/04/2019,15.4,ug/m3 LC,58,San Francisco,San Francisco
06/05/2019,13.1,ug/m3 LC,53,San Francisco,San Francisco
06/06/2019,8.5,ug/m3 LC,35,San Francisco,San Francisco
06/07/2019,9.0,ug/m3 LC,38,San Francisco,San Francisco
06/08/2019,7.5,ug/m3 LC,31,San Francisco,San Francisco
06/09/2019,12.7,ug/m3 LC,52,San Francisco,San Francisco
06/10/2019,12.5,ug/m3 LC,52,San Francisco,San Francisco
06/11/2019,14.8,ug/m3 LC,57,San Francisco,San Francisco
06/12/2019,10.8,ug/m3 LC,45,San Francisco,San Francisco
06/13/2019,4.4,ug/m3 LC,18,San Francisco,San Francisco
06/14/2019,6.4,ug/m3 LC,27,San Francisco,San Francisco
06/15/2019,4.9,ug/m3 LC,20,San Francisco,San Francisco
06/16/2019,6.1,ug/m3 LC,25,San Francisco,San Francisco
06/17/2019,9.5,ug/m3 LC,40,San Francisco,San Francisco
06/18/2019,6.2,ug/m3 LC,26,San Francisco,San Francisco
06/19/2019,5.0,ug/m3 LC,21,San Francisco,San Francisco
06/20/2019,10.3,ug/m3 LC,43,San Francisco,San Francisco
06/21/2019,11.8,ug/m3 LC,49,San Francisco,San Francisco
06/22/2019,16.8,ug/m3 LC,61,San Francisco,San Francisco
06/23/2019,12.6,ug/m3 LC,52,San Francisco,San Francisco
06/24/2019,10.0,ug/m3 LC,42,San Francisco,San Francisco
06/25/2019,9.0,ug/m3 LC,38,San Francisco,San Francisco
06/26/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
06/27/2019,5.1,ug/m3 LC,21,San Francisco,San Francisco
06/28/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
06/29/2019,7.1,ug/m3 LC,30,San Francisco,San Francisco
06/30/2019,6.6,ug/m3 LC,28,San Francisco,San Francisco
07/01/2019,8.6,ug/m3 LC,36,San Francisco,San Francisco
07/02/2019,10.3,ug/m3 LC,43,San Francisco,San Francisco
07/03/2019,9.9,ug/m3 LC,41,San Francisco,San Francisco
07/04/2019,9.1,ug/m3 LC,38,San Francisco,San Francisco
07/05/2019,8.4,ug/m3 LC,35,San Francisco,San Francisco
07/06/2019,11.2,ug/m3 LC,47,San Francisco,San Francisco
07/07/2019,10.3,ug/m3 LC,43,San Francisco,San Francisco
07/08/2019,7.4,ug/m3 LC,31,San Francisco,San Francisco
07/09/2019,4.4,ug/m3 LC,18,San Francisco,San Francisco
07/10/2019,4.0,ug/m3 LC,17,San Francisco,San Francisco
07/11/2019,2.2,ug/m3 LC,9,San Francisco,San Francisco
07/12/2019,3.7,ug/m3 LC,15,San Francisco,San Francisco
07/13/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
07/14/2019,5.9,ug/m3 LC,25,San Francisco,San Francisco
07/15/2019,7.7,ug/m3 LC,32,San Francisco,San Francisco
07/16/2019,4.1,ug/m3 LC,17,San Francisco,San Francisco
07/17/2019,8.6,ug/m3 LC,36,San Francisco,San Francisco
07/18/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
07/19/2019,9.8,ug/m3 LC,41,San Francisco,San Francisco
07/20/2019,5.3,ug/m3 LC,22,San Francisco,San Francisco
07/21/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
07/22/2019,7.1,ug/m3 LC,30,San Francisco,San Francisco
07/23/2019,6.1,ug/m3 LC,25,San Francisco,San Francisco
07/24/2019,12.4,ug/m3 LC,52,San Francisco,San Francisco
07/25/2019,10.2,ug/m3 LC,43,San Francisco,San Francisco
07/26/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
07/27/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
07/28/2019,11.7,ug/m3 LC,49,San Francisco,San Francisco
07/29/2019,13.0,ug/m3 LC,53,San Francisco,San Francisco
07/30/2019,9.0,ug/m3 LC,38,San Francisco,San Francisco
07/31/2019,8.4,ug/m3 LC,35,San Francisco,San Francisco
08/01/2019,2.7,ug/m3 LC,11,San Francisco,San Francisco
08/02/2019,2.9,ug/m3 LC,12,San Francisco,San Francisco
08/03/2019,2.2,ug/m3 LC,9,San Francisco,San Francisco
08/04/2019,7.1,ug/m3 LC,30,San Francisco,San Francisco
08/05/2019,10.4,ug/m3 LC,43,San Francisco,San Francisco
08/06/2019,10.1,ug/m3 LC,42,San Francisco,San Francisco
08/07/2019,9.0,ug/m3 LC,38,San Francisco,San Francisco
08/08/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
08/09/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
08/10/2019,0.9,ug/m3 LC,4,San Francisco,San Francisco
08/11/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
08/12/2019,7.2,ug/m3 LC,30,San Francisco,San Francisco
08/13/2019,8.2,ug/m3 LC,34,San Francisco,San Francisco
08/14/2019,12.2,ug/m3 LC,51,San Francisco,San Francisco
08/15/2019,15.1,ug/m3 LC,57,San Francisco,San Francisco
08/16/2019,15.7,ug/m3 LC,59,San Francisco,San Francisco
08/17/2019,10.7,ug/m3 LC,45,San Francisco,San Francisco
08/18/2019,5.1,ug/m3 LC,21,San Francisco,San Francisco
08/19/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
08/20/2019,5.4,ug/m3 LC,23,San Francisco,San Francisco
08/21/2019,4.9,ug/m3 LC,20,San Francisco,San Francisco
08/22/2019,6.6,ug/m3 LC,28,San Francisco,San Francisco
08/23/2019,7.7,ug/m3 LC,32,San Francisco,San Francisco
08/24/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
08/25/2019,4.9,ug/m3 LC,20,San Francisco,San Francisco
08/26/2019,3.4,ug/m3 LC,14,San Francisco,San Francisco
08/27/2019,4.7,ug/m3 LC,20,San Francisco,San Francisco
08/28/2019,6.3,ug/m3 LC,26,San Francisco,San Francisco
08/29/2019,9.4,ug/m3 LC,39,San Francisco,San Francisco
08/30/2019,7.2,ug/m3 LC,30,San Francisco,San Francisco
08/31/2019,7.0,ug/m3 LC,29,San Francisco,San Francisco
09/01/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
09/02/2019,6.2,ug/m3 LC,26,San Francisco,San Francisco
09/03/2019,4.4,ug/m3 LC,18,San Francisco,San Francisco
09/04/2019,5.3,ug/m3 LC,22,San Francisco,San Francisco
09/05/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
09/06/2019,3.3,ug/m3 LC,14,San Francisco,San Francisco
09/07/2019,3.6,ug/m3 LC,15,San Francisco,San Francisco
09/08/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
09/09/2019,5.2,ug/m3 LC,22,San Francisco,San Francisco
09/10/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
09/11/2019,9.5,ug/m3 LC,40,San Francisco,San Francisco
09/12/2019,9.8,ug/m3 LC,41,San Francisco,San Francisco
09/17/2019,4.9,ug/m3 LC,20,San Francisco,San Francisco
09/18/2019,3.4,ug/m3 LC,14,San Francisco,San Francisco
09/19/2019,5.3,ug/m3 LC,22,San Francisco,San Francisco
09/20/2019,7.1,ug/m3 LC,30,San Francisco,San Francisco
09/21/2019,7.5,ug/m3 LC,31,San Francisco,San Francisco
09/22/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
09/23/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
09/24/2019,12.4,ug/m3 LC,52,San Francisco,San Francisco
09/25/2019,11.8,ug/m3 LC,49,San Francisco,San Francisco
09/26/2019,11.7,ug/m3 LC,49,San Francisco,San Francisco
09/27/2019,4.0,ug/m3 LC,17,San Francisco,San Francisco
09/28/2019,8.9,ug/m3 LC,37,San Francisco,San Francisco
09/29/2019,6.2,ug/m3 LC,26,San Francisco,San Francisco
09/30/2019,4.1,ug/m3 LC,17,San Francisco,San Francisco
10/01/2019,4.0,ug/m3 LC,17,San Francisco,San Francisco
10/02/2019,6.9,ug/m3 LC,29,San Francisco,San Francisco
10/03/2019,6.5,ug/m3 LC,27,San Francisco,San Francisco
10/04/2019,6.3,ug/m3 LC,26,San Francisco,San Francisco
10/05/2019,6.6,ug/m3 LC,28,San Francisco,San Francisco
10/06/2019,8.0,ug/m3 LC,33,San Francisco,San Francisco
10/07/2019,10.2,ug/m3 LC,43,San Francisco,San Francisco
10/08/2019,11.0,ug/m3 LC,46,San Francisco,San Francisco
10/09/2019,10.2,ug/m3 LC,43,San Francisco,San Francisco
10/10/2019,6.8,ug/m3 LC,28,San Francisco,San Francisco
10/11/2019,8.7,ug/m3 LC,36,San Francisco,San Francisco
10/12/2019,10.8,ug/m3 LC,45,San Francisco,San Francisco
10/13/2019,6.0,ug/m3 LC,25,San Francisco,San Francisco
10/14/2019,9.9,ug/m3 LC,41,San Francisco,San Francisco
10/15/2019,11.6,ug/m3 LC,48,San Francisco,San Francisco
10/16/2019,3.6,ug/m3 LC,15,San Francisco,San Francisco
10/17/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
10/18/2019,10.2,ug/m3 LC,43,San Francisco,San Francisco
10/19/2019,10.0,ug/m3 LC,42,San Francisco,San Francisco
10/20/2019,8.2,ug/m3 LC,34,San Francisco,San Francisco
10/21/2019,10.6,ug/m3 LC,44,San Francisco,San Francisco
10/22/2019,11.6,ug/m3 LC,48,San Francisco,San Francisco
10/23/2019,12.4,ug/m3 LC,52,San Francisco,San Francisco
10/24/2019,7.6,ug/m3 LC,32,San Francisco,San Francisco
10/25/2019,18.9,ug/m3 LC,65,San Francisco,San Francisco
10/26/2019,17.4,ug/m3 LC,62,San Francisco,San Francisco
10/27/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
10/28/2019,15.5,ug/m3 LC,58,San Francisco,San Francisco
10/29/2019,11.4,ug/m3 LC,48,San Francisco,San Francisco
10/30/2019,6.9,ug/m3 LC,29,San Francisco,San Francisco
10/31/2019,11.2,ug/m3 LC,47,San Francisco,San Francisco
11/01/2019,14.1,ug/m3 LC,55,San Francisco,San Francisco
11/02/2019,14.8,ug/m3 LC,57,San Francisco,San Francisco
11/03/2019,12.7,ug/m3 LC,52,San Francisco,San Francisco
11/04/2019,10.8,ug/m3 LC,45,San Francisco,San Francisco
11/05/2019,10.0,ug/m3 LC,42,San Francisco,San Francisco
11/06/2019,9.9,ug/m3 LC,41,San Francisco,San Francisco
11/07/2019,13.2,ug/m3 LC,53,San Francisco,San Francisco
11/08/2019,22.0,ug/m3 LC,72,San Francisco,San Francisco
11/09/2019,18.5,ug/m3 LC,64,San Francisco,San Francisco
11/10/2019,11.0,ug/m3 LC,46,San Francisco,San Francisco
11/11/2019,14.0,ug/m3 LC,55,San Francisco,San Francisco
11/12/2019,11.4,ug/m3 LC,48,San Francisco,San Francisco
11/13/2019,9.4,ug/m3 LC,39,San Francisco,San Francisco
11/14/2019,8.6,ug/m3 LC,36,San Francisco,San Francisco
11/15/2019,3.1,ug/m3 LC,13,San Francisco,San Francisco
11/16/2019,9.2,ug/m3 LC,38,San Francisco,San Francisco
11/17/2019,13.6,ug/m3 LC,54,San Francisco,San Francisco
11/18/2019,17.5,ug/m3 LC,62,San Francisco,San Francisco
11/19/2019,7.7,ug/m3 LC,32,San Francisco,San Francisco
11/20/2019,8.4,ug/m3 LC,35,San Francisco,San Francisco
11/21/2019,11.4,ug/m3 LC,48,San Francisco,San Francisco
11/22/2019,14.0,ug/m3 LC,55,San Francisco,San Francisco
11/23/2019,15.2,ug/m3 LC,58,San Francisco,San Francisco
11/24/2019,12.4,ug/m3 LC,52,San Francisco,San Francisco
11/25/2019,9.5,ug/m3 LC,40,San Francisco,San Francisco
11/26/2019,5.8,ug/m3 LC,24,San Francisco,San Francisco
11/27/2019,6.4,ug/m3 LC,27,San Francisco,San Francisco
11/28/2019,6.1,ug/m3 LC,25,San Francisco,San Francisco
11/29/2019,5.6,ug/m3 LC,23,San Francisco,San Francisco
11/30/2019,3.3,ug/m3 LC,14,San Francisco,San Francisco
12/01/2019,1.6,ug/m3 LC,7,San Francisco,San Francisco
12/02/2019,3.8,ug/m3 LC,16,San Francisco,San Francisco
12/03/2019,5.1,ug/m3 LC,21,San Francisco,San Francisco
12/04/2019,8.5,ug/m3 LC,35,San Francisco,San Francisco
12/05/2019,10.7,ug/m3 LC,45,San Francisco,San Francisco
12/06/2019,3.3,ug/m3 LC,14,San Francisco,San Francisco
12/07/2019,3.8,ug/m3 LC,16,San Francisco,San Francisco
12/08/2019,4.1,ug/m3 LC,17,San Francisco,San Francisco
12/09/2019,6.7,ug/m3 LC,28,San Francisco,San Francisco
12/10/2019,9.3,ug/m3 LC,39,San Francisco,San Francisco
12/11/2019,8.0,ug/m3 LC,33,San Francisco,San Francisco
12/12/2019,2.2,ug/m3 LC,9,San Francisco,San Francisco
12/13/2019,5.0,ug/m3 LC,21,San Francisco,San Francisco
12/14/2019,4.1,ug/m3 LC,17,San Francisco,San Francisco
12/15/2019,4.2,ug/m3 LC,18,San Francisco,San Francisco
12/16/2019,5.7,ug/m3 LC,24,San Francisco,San Francisco
12/17/2019,10.9,ug/m3 LC,45,San Francisco,San Francisco
12/18/2019,3.7,ug/m3 LC,15,San Francisco,San Francisco
12/19/2019,6.8,ug/m3 LC,28,San Francisco,San Francisco
12/20/2019,14.5,ug/m3 LC,56,San Francisco,San Francisco
12/21/2019,12.6,ug/m3 LC,52,San Francisco,San Francisco
12/22/2019,4.6,ug/m3 LC,19,San Francisco,San Francisco
12/23/2019,5.4,ug/m3 LC,23,San Francisco,San Francisco
12/24/2019,5.3,ug/m3 LC,22,San Francisco,San Francisco
12/25/2019,3.5,ug/m3 LC,15,San Francisco,San Francisco
12/26/2019,7.0,ug/m3 LC,29,San Francisco,San Francisco
12/27/2019,8.2,ug/m3 LC,34,San Francisco,San Francisco
12/28/2019,9.2,ug/m3 LC,38,San Francisco,San Francisco
12/29/2019,6.4,ug/m3 LC,27,San Francisco,San Francisco
12/30/2019,7.4,ug/m3 LC,31,San Francisco,San Francisco
12/31/2019,9.9,ug/m3 LC,41,San Francisco,San Francisco
