Date,Daily_Max_1-hr_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2015,39.1,ppb,37,San Francisco
01/02/2015,45.3,ppb,42,San Francisco
01/03/2015,48.5,ppb,45,San Francisco
01/04/2015,42.0,ppb,40,San Francisco
01/05/2015,45.1,ppb,42,San Francisco
01/06/2015,50.3,ppb,47,San Francisco
01/07/2015,50.0,ppb,47,San Francisco
01/08/2015,51.4,ppb,48,San Francisco
01/09/2015,35.1,ppb,33,San Francisco
01/10/2015,31.6,ppb,29,San Francisco
01/11/2015,27.8,ppb,25,San Francisco
01/12/2015,33.3,ppb,31,San Francisco
01/13/2015,37.4,ppb,35,San Francisco
01/14/2015,34.5,ppb,32,San Francisco
01/15/2015,47.0,ppb,44,San Francisco
01/16/2015,39.3,ppb,37,San Francisco
01/17/2015,29.4,ppb,27,San Francisco
01/18/2015,23.3,ppb,22,San Francisco
01/19/2015,28.1,ppb,26,San Francisco
01/20/2015,29.6,ppb,27,San Francisco
01/21/2015,34.0,ppb,32,San Francisco
01/22/2015,26.2,ppb,25,San Francisco
01/23/2015,39.5,ppb,37,San Francisco
01/24/2015,35.4,ppb,33,San Francisco
01/25/2015,34.2,ppb,32,San Francisco
01/26/2015,37.4,ppb,35,San Francisco
01/27/2015,45.1,ppb,42,San Francisco
01/28/2015,45.1,ppb,42,San Francisco
01/29/2015,50.3,ppb,47,San Francisco
01/30/2015,30.5,ppb,28,San Francisco
01/31/2015,27.2,ppb,25,San Francisco
02/01/2015,37.4,ppb,35,San Francisco
02/02/2015,48.2,ppb,45,San Francisco
02/03/2015,39.3,ppb,37,San Francisco
02/04/2015,32.6,ppb,30,San Francisco
02/05/2015,41.4,ppb,39,San Francisco
02/06/2015,10.8,ppb,9,San Francisco
02/07/2015,15.6,ppb,14,San Francisco
02/08/2015,18.7,ppb,17,San Francisco
02/09/2015,20.5,ppb,19,San Francisco
02/10/2015,29.5,ppb,27,San Francisco
02/11/2015,41.8,ppb,39,San Francisco
02/12/2015,39.9,ppb,37,San Francisco
02/13/2015,56.2,ppb,53,San Francisco
02/14/2015,36.6,ppb,34,San Francisco
02/15/2015,41.5,ppb,39,San Francisco
02/16/2015,34.8,ppb,32,San Francisco
02/17/2015,22.4,ppb,21,San Francisco
02/18/2015,17.5,ppb,16,San Francisco
02/19/2015,23.5,ppb,22,San Francisco
02/20/2015,29.8,ppb,27,San Francisco
02/21/2015,25.6,ppb,24,San Francisco
02/22/2015,23.9,ppb,22,San Francisco
02/23/2015,39.6,ppb,37,San Francisco
02/24/2015,63.0,ppb,61,San Francisco
02/25/2015,31.7,ppb,29,San Francisco
02/26/2015,37.5,ppb,35,San Francisco
02/27/2015,14.8,ppb,13,San Francisco
02/28/2015,32.1,ppb,30,San Francisco
03/01/2015,28.9,ppb,26,San Francisco
03/02/2015,27.5,ppb,25,San Francisco
03/03/2015,47.4,ppb,44,San Francisco
03/04/2015,43.2,ppb,41,San Francisco
03/05/2015,39.6,ppb,37,San Francisco
03/06/2015,49.6,ppb,46,San Francisco
03/07/2015,27.1,ppb,25,San Francisco
03/08/2015,16.1,ppb,15,San Francisco
03/09/2015,20.5,ppb,19,San Francisco
03/10/2015,29.5,ppb,27,San Francisco
03/11/2015,24.9,ppb,23,San Francisco
03/12/2015,44.3,ppb,42,San Francisco
03/13/2015,52.2,ppb,49,San Francisco
03/14/2015,30.5,ppb,28,San Francisco
03/15/2015,28.7,ppb,26,San Francisco
03/16/2015,31.2,ppb,29,San Francisco
03/17/2015,18.6,ppb,17,San Francisco
03/18/2015,35.5,ppb,33,San Francisco
03/19/2015,45.2,ppb,42,San Francisco
03/20/2015,37.2,ppb,35,San Francisco
03/21/2015,10.0,ppb,9,San Francisco
03/22/2015,10.4,ppb,9,San Francisco
03/23/2015,23.8,ppb,22,San Francisco
03/24/2015,22.6,ppb,21,San Francisco
03/25/2015,34.0,ppb,32,San Francisco
03/26/2015,43.0,ppb,41,San Francisco
03/27/2015,20.5,ppb,19,San Francisco
03/28/2015,21.5,ppb,20,San Francisco
03/29/2015,17.7,ppb,16,San Francisco
03/30/2015,16.3,ppb,15,San Francisco
03/31/2015,14.4,ppb,13,San Francisco
04/01/2015,50.6,ppb,47,San Francisco
04/02/2015,28.8,ppb,26,San Francisco
04/03/2015,53.2,ppb,50,San Francisco
04/04/2015,16.2,ppb,15,San Francisco
04/05/2015,15.7,ppb,14,San Francisco
04/06/2015,45.6,ppb,42,San Francisco
04/07/2015,29.2,ppb,27,San Francisco
04/08/2015,42.7,ppb,40,San Francisco
04/09/2015,41.2,ppb,39,San Francisco
04/10/2015,42.4,ppb,40,San Francisco
04/11/2015,18.3,ppb,17,San Francisco
04/12/2015,17.7,ppb,16,San Francisco
04/13/2015,13.0,ppb,12,San Francisco
04/14/2015,23.5,ppb,22,San Francisco
04/15/2015,44.2,ppb,42,San Francisco
04/16/2015,44.1,ppb,42,San Francisco
04/17/2015,34.6,ppb,32,San Francisco
04/18/2015,11.4,ppb,10,San Francisco
04/19/2015,4.6,ppb,4,San Francisco
04/20/2015,12.3,ppb,11,San Francisco
04/21/2015,17.4,ppb,16,San Francisco
04/22/2015,14.5,ppb,13,San Francisco
04/23/2015,14.7,ppb,13,San Francisco
04/24/2015,9.9,ppb,8,San Francisco
04/25/2015,6.0,ppb,6,San Francisco
04/26/2015,23.5,ppb,22,San Francisco
04/27/2015,33.9,ppb,31,San Francisco
04/28/2015,7.8,ppb,7,San Francisco
04/29/2015,26.1,ppb,25,San Francisco
04/30/2015,40.0,ppb,38,San Francisco
05/01/2015,37.2,ppb,35,San Francisco
05/02/2015,5.8,ppb,5,San Francisco
05/03/2015,4.3,ppb,4,San Francisco
05/04/2015,12.0,ppb,11,San Francisco
05/05/2015,12.2,ppb,11,San Francisco
05/06/2015,37.6,ppb,35,San Francisco
05/07/2015,39.3,ppb,37,San Francisco
05/08/2015,35.1,ppb,33,San Francisco
05/09/2015,6.9,ppb,6,San Francisco
05/10/2015,5.1,ppb,5,San Francisco
05/11/2015,10.9,ppb,9,San Francisco
05/12/2015,11.8,ppb,10,San Francisco
05/13/2015,13.8,ppb,12,San Francisco
05/14/2015,20.8,ppb,19,San Francisco
05/15/2015,11.2,ppb,10,San Francisco
05/16/2015,5.4,ppb,5,San Francisco
05/17/2015,4.8,ppb,4,San Francisco
05/18/2015,15.2,ppb,14,San Francisco
05/19/2015,10.9,ppb,9,San Francisco
05/20/2015,8.5,ppb,8,San Francisco
05/21/2015,17.2,ppb,16,San Francisco
05/22/2015,12.3,ppb,11,San Francisco
05/23/2015,5.4,ppb,5,San Francisco
05/24/2015,4.9,ppb,4,San Francisco
05/25/2015,4.9,ppb,4,San Francisco
05/26/2015,11.8,ppb,10,San Francisco
05/27/2015,9.5,ppb,8,San Francisco
05/28/2015,8.2,ppb,8,San Francisco
05/29/2015,8.4,ppb,8,San Francisco
05/30/2015,8.0,ppb,8,San Francisco
05/31/2015,4.4,ppb,4,San Francisco
06/01/2015,12.3,ppb,11,San Francisco
06/02/2015,14.5,ppb,13,San Francisco
06/03/2015,11.9,ppb,10,San Francisco
06/04/2015,18.1,ppb,17,San Francisco
06/05/2015,16.5,ppb,15,San Francisco
06/06/2015,8.5,ppb,8,San Francisco
06/07/2015,10.0,ppb,9,San Francisco
06/08/2015,23.1,ppb,22,San Francisco
06/10/2015,21.2,ppb,20,San Francisco
06/11/2015,17.1,ppb,16,San Francisco
06/12/2015,18.3,ppb,17,San Francisco
06/13/2015,6.0,ppb,6,San Francisco
06/14/2015,3.1,ppb,3,San Francisco
06/15/2015,7.6,ppb,7,San Francisco
06/16/2015,8.8,ppb,8,San Francisco
06/17/2015,7.9,ppb,7,San Francisco
06/18/2015,12.0,ppb,11,San Francisco
06/19/2015,12.8,ppb,11,San Francisco
06/20/2015,7.1,ppb,7,San Francisco
06/21/2015,8.2,ppb,8,San Francisco
06/22/2015,10.5,ppb,9,San Francisco
06/23/2015,10.6,ppb,9,San Francisco
06/24/2015,6.9,ppb,6,San Francisco
06/25/2015,18.9,ppb,17,San Francisco
06/26/2015,13.3,ppb,12,San Francisco
06/27/2015,6.7,ppb,6,San Francisco
06/28/2015,3.7,ppb,3,San Francisco
06/29/2015,7.5,ppb,7,San Francisco
06/30/2015,14.4,ppb,13,San Francisco
07/01/2015,16.0,ppb,15,San Francisco
07/02/2015,7.9,ppb,7,San Francisco
07/03/2015,5.7,ppb,5,San Francisco
07/04/2015,3.3,ppb,3,San Francisco
07/05/2015,2.7,ppb,2,San Francisco
07/06/2015,8.4,ppb,8,San Francisco
